text,diggCount,uniqueId,createTimeISO,videoWebUrl,language,sentiment,category
I WANT EVERYTHINGGGG,1,emerlyong,2026-07-24 11:47:38+00:00,https://www.tiktok.com/@yeahitsiman/video/7666024922854067464,English,Neutral,Purchase Intention
🥰🥰,1,reclow_global,2026-07-25 12:40:09+00:00,https://www.tiktok.com/@yeahitsiman/video/7666024922854067464,unknown,Neutral,Other
first time dengar suara si randomboi ni 😌,5,ifanz16._,2026-07-22 17:50:48+00:00,https://www.tiktok.com/@randomb0iii/video/7665327350443265287,Other,Neutral,Other
love how our style and humor code match! 😂😍,1,reclow_global,2026-07-25 12:42:33+00:00,https://www.tiktok.com/@randomb0iii/video/7665327350443265287,English,Neutral,Design
lawa pula tu topi and foldable sun glass,1,abrasdi,2026-07-26 11:37:10+00:00,https://www.tiktok.com/@randomb0iii/video/7665327350443265287,English,Neutral,Other
The last pair 🤩🫨,1,zamieparis26,2026-07-23 12:48:22+00:00,https://www.tiktok.com/@randomb0iii/video/7665327350443265287,English,Neutral,Other
"sungguh cutesy kamu, the stuff also..",2,dand3_ly0n,2026-07-22 16:56:09+00:00,https://www.tiktok.com/@randomb0iii/video/7665327350443265287,English,Neutral,Design
Mic from wht brand tu?,0,izzainie,2026-07-24 04:57:56+00:00,https://www.tiktok.com/@randomb0iii/video/7665327350443265287,English,Neutral,Other
cute hirono haha,1,gvd_ghana,2026-07-26 16:28:17+00:00,https://www.tiktok.com/@randomb0iii/video/7665327350443265287,Other,Neutral,Design
mau yang plushie😚🤍,1,yyunieerose,2026-07-22 14:01:25+00:00,https://www.tiktok.com/@randomb0iii/video/7665327350443265287,Malay/Indonesian,Neutral,Other
Jangan comel sgt😝,1,imsaifulmaun,2026-07-25 23:32:03+00:00,https://www.tiktok.com/@randomb0iii/video/7665327350443265287,Malay/Indonesian,Neutral,Other
besar juga kotak dia tu,1,nakoucos,2026-07-22 13:44:37+00:00,https://www.tiktok.com/@randomb0iii/video/7665327350443265287,Malay/Indonesian,Neutral,Other
👌👌👌👌,0,fromus4lifye,2026-07-22 13:58:26+00:00,https://www.tiktok.com/@randomb0iii/video/7665327350443265287,unknown,Neutral,Other
😝😝😝,0,junkidaniel,2026-07-22 12:52:37+00:00,https://www.tiktok.com/@randomb0iii/video/7665327350443265287,unknown,Neutral,Other
Cantik sangat 😍,0,reclow_global,2026-07-06 02:54:08+00:00,https://www.tiktok.com/@naddyjay/video/7658962491392707847,Other,Neutral,Other
love you 😘,0,kchit17,2026-07-24 07:14:44+00:00,https://www.tiktok.com/@reclow_global/video/7662258519827123474,Other,Neutral,Other
🥰🥰🥰🥰,0,mosawarabbas,2026-07-24 23:27:36+00:00,https://www.tiktok.com/@reclow_global/video/7662258519827123474,unknown,Neutral,Other
